Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done,agent_angle_score,agent_angle_tier,agent_angle_deg
Reset 8120,1,-0.007689114797427399,0.0,0,2.0,4.3,0,1,0.048629857805618126,0.0,0,2.0,4.3,0,"('a', 'b', 2)",8.25,8.75,1.5707963267948966,-7.544391864267282,0.0,2.0,4.3,17,True,37.641788249931004,beginner,11.179105875034498
Reset 8121,1,-0.010831296194980355,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-5.269303795762459,0.0,2.0,4.8,14,True,28.30374563704588,beginner,15.84812718147706
Reset 8122,0,0.0,0.0,0,0.0,0.0,0,1,-0.11750547771841857,0.0,0,2.0,4.3,0,"('b', 'c', 4)",17.25,-8.5,-1.5707963267948966,-7.0504116866140185,0.0,2.0,4.8,20,True,27.626516106238967,beginner,16.186741946880517
Reset 8123,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-4.4019008275251235,0.0,2.0,4.3,18,True,36.5139617748278,beginner,11.7430191125861
Reset 8124,0,0.0,0.0,0,0.0,0.0,0,1,0.05863834350168551,0.0,0,2.0,4.3,0,"('b', 'c', 4)",17.25,-8.5,-1.5707963267948966,-3.842582642531749,0.0,2.0,4.3,19,True,39.079341287745564,beginner,10.460329356127218
Reset 8125,0,0.0,0.0,0,0.0,0.0,0,1,-0.1190984653811753,0.0,0,2.0,4.3,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-2.8673550350321557,0.0,2.0,4.3,19,True,34.10300470563379,beginner,12.948497647183103
Reset 8126,1,0.026393778105891386,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-7.038365027978901,0.0,2.0,4.8,19,True,34.682438056028595,beginner,12.658780971985703
Reset 8127,1,-0.15506761775409306,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-6.805988012495213,0.0,2.0,4.8,19,True,35.997703417762516,beginner,12.001148291118742
Reset 8128,1,0.009650888572924732,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-4.527013020706087,0.0,2.0,4.3,14,True,62.71581786443123,intermediate,7.160522766946096
Reset 8129,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-4.294452379732007,0.0,2.0,4.3,20,True,35.09564727022388,beginner,12.452176364888059
